doc_id,sentence_id,matched_form,context,start_char,end_char,cluster,umap1,umap2,dist_to_cluster_0,dist_to_cluster_1,dist_to_cluster_2
A06785.txt,77,price,"And so it is in matters of Exchanges, whereby commodities are dearer or better cheap, according to the Positive Exchange, Positive Exchange. wherein the prices of commodities do perpetually follow the rates of Exchange: but the Exchange having also another course of rising and falling in price, according to plenty or scarcity of moneys, and the few or many Takers or deliverers of money, Currant Exchange. which may be termed The currant Exchange: hath not the like operation, to make daily (as it were) the prices of commodities to rise and fall according to the said Exchange, for as the few or many takers or deliverers of money doth proportionate this price of Exchange in all Countries, according to the true value or above the same, grounded upon the said Positive Exchange, so doth plenty or scarcity of money do the like, and the commodities so bought by moneys taken up by Exchange, are calculated by Merchants of experience in price to cost accordingly.",289,294,1,-0.030485906,-1.5423163,9.266179,8.856781,8.835286
A06785.txt,77,price,"And so it is in matters of Exchanges, whereby commodities are dearer or better cheap, according to the Positive Exchange, Positive Exchange. wherein the prices of commodities do perpetually follow the rates of Exchange: but the Exchange having also another course of rising and falling in price, according to plenty or scarcity of moneys, and the few or many Takers or deliverers of money, Currant Exchange. which may be termed The currant Exchange: hath not the like operation, to make daily (as it were) the prices of commodities to rise and fall according to the said Exchange, for as the few or many takers or deliverers of money doth proportionate this price of Exchange in all Countries, according to the true value or above the same, grounded upon the said Positive Exchange, so doth plenty or scarcity of money do the like, and the commodities so bought by moneys taken up by Exchange, are calculated by Merchants of experience in price to cost accordingly.",939,944,0,-0.0857831,-1.5088451,7.657799,8.045181,8.081931
A06785.txt,99,price,"It is about 80. years since that there was an equal Exchange between England and the Netherlands, Equal Exchange. which in true value may be called Positive, and according to alteration in price Currant, at which time, twenty shillings of their coin, and twenty shillings Starlin, were alike in denomination, that is to say, were named all one in price, & of intrinsique or inward value, for their Imperial Royal of gold was valued and went currant for Ten shillings Flemish, and our Angel was valued at Ten shillings Starlin, being all of a goodness of Gold in value, which we call Waight and finesse by the terms of the Mint, so the French Crown which was valued here at Six shillings Starlin, English & foreign coin all one in Exchange. and beyond the Seas at six shillings Flemish, was correspondent: the Philip Doller of silver was valued at five shillings Flemish, and so was the Edward Crown of silucr five shillings Starlin: our ten Groats being three shillings and four pence, was correspondent to the Emperor's Florin of twenty Stivers: and the Flemish shillings of six Stivers or twelve pence Flemish, was all one with our shilling or twelve pence Starlin: for an ounce of Starlin silver was valued as five shillings, for there was five pieces or shillings made out of an ounce: and although the Standards of moneys did differ in the finesse or goodness of the silver and gold, yet the quantity in weight did answer and made good the same: as for example, the Starlin Standard being 11. ounces 2. d. weight in fine silver, in the 12 ounces Troy to the pound weight made into 60 s. caused the ounce to be five shillings; and the Philip.",189,194,0,-0.3247046,-1.4286717,9.396598,9.454437,9.430725
A06785.txt,99,price,"It is about 80. years since that there was an equal Exchange between England and the Netherlands, Equal Exchange. which in true value may be called Positive, and according to alteration in price Currant, at which time, twenty shillings of their coin, and twenty shillings Starlin, were alike in denomination, that is to say, were named all one in price, & of intrinsique or inward value, for their Imperial Royal of gold was valued and went currant for Ten shillings Flemish, and our Angel was valued at Ten shillings Starlin, being all of a goodness of Gold in value, which we call Waight and finesse by the terms of the Mint, so the French Crown which was valued here at Six shillings Starlin, English & foreign coin all one in Exchange. and beyond the Seas at six shillings Flemish, was correspondent: the Philip Doller of silver was valued at five shillings Flemish, and so was the Edward Crown of silucr five shillings Starlin: our ten Groats being three shillings and four pence, was correspondent to the Emperor's Florin of twenty Stivers: and the Flemish shillings of six Stivers or twelve pence Flemish, was all one with our shilling or twelve pence Starlin: for an ounce of Starlin silver was valued as five shillings, for there was five pieces or shillings made out of an ounce: and although the Standards of moneys did differ in the finesse or goodness of the silver and gold, yet the quantity in weight did answer and made good the same: as for example, the Starlin Standard being 11. ounces 2. d. weight in fine silver, in the 12 ounces Troy to the pound weight made into 60 s. caused the ounce to be five shillings; and the Philip.",347,352,0,-0.22733255,-1.4467814,8.339369,9.243891,9.25517
A06785.txt,151,price,"Flemish was correspondent in account between the said Londonner and Amsterdammer, after the said rate of 24 s. by exchange, so long as the value was made good by exchange: but if the Exchange had not risen in price according to the moneys enhanced, and had remained at 20 s. for 20 s. and they had still so kept their account between them; All men of judgement can very well see that the 500 l.",209,214,0,-0.12959546,-1.2415875,6.1317196,7.226097,7.260293
A06785.txt,184,price,"He accuseth me of gross errors, for that the exchange is risen in price according to the valuation of moneys, which even now we have proved to be false: and if exchange should rise and fall accordingly, that is to say, if moneys rise beyond the Seas, that the price of exchange should rise accordingly: and if moneys do rise here, that then on the contrary the exchange should fall in price here, what remedy can there be then in the enhancing of the moneys, when the price of exchange will still over rule the same, misselden's Errors. as it were an enhancing upon an enhancing between us and other Countries upon the price of exchange, which (as hath been showed) is the Public Measure?",66,71,1,-0.17999806,-1.5353688,8.587797,8.227456,8.202506
A06785.txt,184,price,"He accuseth me of gross errors, for that the exchange is risen in price according to the valuation of moneys, which even now we have proved to be false: and if exchange should rise and fall accordingly, that is to say, if moneys rise beyond the Seas, that the price of exchange should rise accordingly: and if moneys do rise here, that then on the contrary the exchange should fall in price here, what remedy can there be then in the enhancing of the moneys, when the price of exchange will still over rule the same, misselden's Errors. as it were an enhancing upon an enhancing between us and other Countries upon the price of exchange, which (as hath been showed) is the Public Measure?",385,390,0,-0.027901197,-1.7303437,8.850193,8.879236,8.876479
A06785.txt,239,price,"The third distinction concerning the whole Kingdom, is now to be examined by way of Antithesis or conterpointing, showing how gain doth command and direct Trade, in the said three simples of Traffic, namely Commodities, Moneys, and Exchanges, and especially in the exchanges of moneys which overruleth the other two, whereby the overbalancing of foreign Commodities, with our native Commodities in price is procured: and this may be avoided and prevented by the contrary, if it be put in practice according to the said rule of justice and equity.",398,403,0,-0.40392956,-1.3050792,6.2132874,6.8706913,6.970477
A06785.txt,241,price,"FIrst, when our moneys are undervalued in exchange, whereby there ariseth a gain between the inward value of the moneys and the price of exchange: then are our moneys continually exported into foreign parts, for the like gain can never be made by any Commodity.

2 This exportation of money, causeth not only the less moneys to be employed upon our native Commodities, and returneth in foreign wares, but taketh away also the Vital spirit of Traffic, and giveth a great cause of overbalancing of commodities.

3 The said undervaluation of our moneys in exchange doth the like, and causeth our native Commodities to be sold better cheap beyond the Seas, for want of knowledge of the true value of our moneys and theirs: even as the enhancing of foreign coin beyond the Seas, caused the foreign wares to be advanced in price, according as the said money is enhanced, whereby the said overbalancing must needs come to pass of course.

4 It doth hinder the importation of Bullion and Dollars from the said places of Trade, which we have had in times past: for the said enhancing coin not being truly valued by exchange, cannot be imported but to an exceeding loss, and Merchant strangers will not take the same at a low exchange, so that our Merchants are compelled to make their returns by foreign Commodities, thereby greatly increasing the said overbalancing of Trade.

5 Young English Merchants are constrained to take up a great part of the said money at a low exchange, to maintain their rechanges to their loss, or else must make quick sales of their commodities, whereby they spoil the markets of others, which causeth them to set over their bills obligatory (received for their Clothes sold there) either for money, to pay the money taken up here by exchange, or for foreign Commodities at dear rates by the said enhanced moneys and otherwise, which cannot but breed an overbalancing of Commodities.

6 The said low exchange (whereby the Spanish Merchants make a diversion of the royals of 8 unto to those parts finding there more gain, when they can make over their moneys by a low exchange doth also divert from us a great Trade, by such employments as are made there upon foreign Commodities, as Bays, Says, and other new Draperies made in those parts, which might be employed upon our Commodities, and can this negotiation be without argumenting of the said overbalancing?

7 If by occasion or accident moneys or Bullion is impotted: (which might be carried to the Mint, and the moneys made thereof would be delivered by exchange to our Merchants, and so by them employed upon our Commodities, if the said were high or indiffetent:) it falleth out, that the said moneys or Bullion are exported again by other Merchants, which bring in foreign wares for it, for gain still beareth the sway.",817,822,0,0.047102265,-1.3618374,7.176135,7.5754285,7.6084204
A06785.txt,336,price,"To speak ingeniously, can the making of a Balance cause moneys and Bullion to be brought in, or hinder the transportation of moneys? or can the calculation of the said Balance procure that our native Commodities exported, shall surmount in price and quantity the foreign Commodities brought in.",240,245,0,-0.13869277,-1.568963,7.964733,8.137546,8.148741
