doc_id,sentence_id,matched_form,context,cluster,label
wealth.txt,2470,prices,"The discovery of the mines of America, it is to be observed,
      does not seem to have had any very sensible effect upon the prices of
      things in England till after 1570; though even the mines of Potosi had
      been discovered more than twenty years before.",0,valuation
A06786.txt,790,prices,"And albeit that the abundance or quantity of Commodities, and the many or few buyers, or the scarcity of Commodities, causeth the prices of Commodities to rise and fall; and likewise that plenty of Money maketh things dear, and scarcity of Money maketh them good cheap, as a property inherent unto Money as a true measure: yet we must observe in true order, That both Commodities and Money are Passive, Commodities and Money are things passive. since th' exchange was invented, which is only Active, and that in countries where all the essential parts of traffic are used.",0,valuation
wealth.txt,1690,prices,"Corporation laws enable the
      inhabitants of towns to raise their prices, without fearing to be
      undersold by the free competition of their own countrymen.",0,market_exchange
wealth.txt,2366,prices,"The ancient statutes of assize seem to have begun always with determining
      what ought to be the price of bread and ale when the price of wheat and
      barley were at the lowest; and to have proceeded gradually to determine
      what it ought to be, according as the prices of those two sorts of grain
      should gradually rise above this lowest price.",0,market_exchange
A07886.txt,177,prices,"For, it is an undoubted truth, that in those days we often paid 6. shillings or more for a pound of Pepper, and seldom or never less then three shillings and six pence the pound; whereas since the Trade hath come directly from the Indies, it hath been bought commonly at several prices between 16. pence and two shillings the pound; but I will make the difference of price appear more plainly by setting down the quantities of Spices and Indigo, which are yearly spent in the Realm of England, together with the lowest prices, which they were wont to sell at, when we brought them from Turkey and Lixborne; and the like concerning their usual prices now that we bring them from the East Indies directly; And first as from Turkey.",0,market_exchange
A06785.txt,497,prices,"It is true that there are Statutes against shipping Cloth undressed above a certain value, but there have been ever or for the most part means to dispense with the said Satutes, as the Lord of Cumberland his Licence, and others of that kind, for which business there hath been usually heretofore an Officer in the Custom House ready to admit composition with Strangers aswell as with others, and so the Strangers paying Strangers Custom, might ship Cloth undressed aswell as the Merchant's Adventurers: but now the Merchant's Adventurers have engrossed the foresaid dispensations into their own hands, so that the Strangers are now prevented of shipping Cloth undressed, as formerly they have done: by reason whereof, one other means whereby great quantities of Cloth have been heretofore vented, and the prices thereof advanced, is by the Merchant's Adventurers wholly intercepted.",0,market_exchange
wealth.txt,5570,prices,"The following are the prices at which the bank of Amsterdam at present
      {September 1775} receives bullion and coin of different kinds:


                              SILVER
     Mexico dollars .................  22  Guilders / mark
     French crowns ..................  22
     English silver coin.............  22
     Mexico dollars, new coin........  21  10
     Ducatoons.......................   3   0
     Rix-dollars.....................   2   8



      Bar silver, containing 11-12ths fine silver, 21 Guilders / mark, and in
      this proportion down to 1-4th fine, on which 5 guilders are given.",0,market_exchange
A32833.txt,378,prices,"First, If this be not done, the Danes, swedes and Easterlings will certainly in a few Years carry the whole Trade, by reason of the difference of the charge of building a Ship fit for that Trade there or here, viz. a flyboat of 300 Tuns new built, and set to Sea for such a Voyage, may cost there 13 or 1400 l. which here would cost from 22 to 2400 l. which is so vast a disproportion, that it is impossible for an English man to cope with a Dane in that Navigation under such a discouragement; to balance which there is nothing but the Stranger's duty which the Dane now pays, which may come to 5 or 6 l per Ship per Voyage at most, one with another, which is incompitable with the difference of Price between the first cost of the Ships in either Nation: And this is so evident to those who are conversant in those Trades, that besides the decrease of our Shiping and increase of theirs that hath already happened, ours in probability had bee??? wholy beaten out of the Trade, and only Danes and Easterlings freighted, had we been necessitated to build English Ships, and had not been recruited on moderate Prices by Fly-boats (being Ships proper for this Trade) taken in the late Dutch War, and by a further supply of Scotch Prizes likewise, through his majesty's permission and indulgence.",0,market_exchange
A32833.txt,508,prices,"Now, if not only the aforesaid advantages be seriously considered, but also what detriment the Nation would sustain, if we were deprived of those supplies, both in point of Strength and warlike Provisions, in regard of shipping and Salt-Petre, but also in respect of the furtherance it gives to many other trade's beforementioned, it will easily appear that this Trade, though its Imports exceeds its Exports, is the most advantageous Trade to England, and deserves all encouragement; for were we to buy all our Pepper and calicoes, etc. of the Dutch, they would raise our Pepper (which now stands the Nation but about 3 d. per pound in India) to, or near the proportion which they have advanced on Nutmegs, Cloves and Mace, (which cost the Dutch not much more per pound in India than Pepper) since they engrossed the Trade for those Commodities; and the use of calico in England would be supplied by foreign linen at greater Prices; so that what may be secured from this Nation 's consumption, would in probability cost them above 400000 l. per Annum more than now it doth; and our foreign Trades for Italy, Guiny, etc. would in part decay for want of the aforesaid supplies.",0,market_exchange
A06786.txt,787,prices,"The third, as the Spirit and faculty of the Soul (being seated every where) corroborateth the vital Spirit of traffic, directing and controlling (by just proportions) the prices and values of Commodities and Moneys.",0,market_exchange
A07594__Circle_of_Commerce.txt,214,prices,"Others that carry it out to remit it back, doe not re??pect the prices of Commodities whether they bee deare or cheape, ??o long as the Exchange affordeth them meanes to returne their money with advantage.",0,market_exchange
wealth.txt,1085,prices,"In the ordinary variations of
      the prices of provisions, those two opposite causes seem to counterbalance
      one another, which is probably, in part, the reason why the wages of
      labor are everywhere so much more steady and permanent than the price of
      provisions.",0,market_exchange
wealth.txt,2348,prices,"This opinion they seem to have been led into, partly by the observations
      which they had occasion to make upon the prices both of corn and of some
      other parts of the rude produce of land, and partly by the popular notion,
      that as the quantity of silver naturally increases in every country with
      the increase of wealth, so its value diminishes as it quantity increases.",0,market_exchange
wealth.txt,5910,prices,"The consequent rise of
      all money prices, though it does not make those who receive them really
      richer, does not make them really poorer.",0,market_exchange
wealth.txt,2368,prices,"Thus, in the assize of bread and ale, of the 51st of Henry III. the price
      of bread was regulated according to the different prices of wheat, from
      one shilling to twenty shillings the quarter of the money of those times.",0,market_exchange
A32830.txt,39,prices,"But indeed the Indian-made Goods have not that troublesome effects, but on the Contrary, another very convenient and profitable one, which is, that they hinder the Importation and Consumption of Abundance of such Foreign Goods as we should else have bought, and were wont to buy at much greater Prices.",0,market_exchange
A06786.txt,2093,prices,"Albeit that there be no combination to limit any certain prices, for the sale of commodities in the particular of one Merchant or more Merchants agreed together to buy up a commodity, it may be called a forestall.",0,market_exchange
B14801__Free_Trade.txt,385,prices,"The French Company The French Company. also, though but lately reduced to Order, haue reformed many abuses in that trade, in maintaining the Natiue Commodities of this Kingdome in much better estimation, and in keeping the Forreine at moderate prices: and in employing greater shipping, then at any time before.",0,market_exchange
wealth.txt,2911,prices,"The same causes which, in the progress of improvement, gradually raise the
      price of butcher?€?s meat, should have the same effect, it may be thought,
      upon the prices of wool and raw hides, and raise them, too, nearly in the
      same proportion.",0,market_exchange
wealth.txt,693,prices,"The natural price, therefore, is, as it were, the central price, to which
      the prices of all commodities are continually gravitating.",0,market_exchange
A06785.txt,345,prices,"P. 49. 52. and give bridle to the present course of Trade, expecting an overbalance to happen on our side without removing of the causes, after they had spoken well concerning exchanges: although they confessed to be a ground, as a matter much too high for their handling: saying, That the abuse thereof is very prejudicial unto this Kingdom in particular, whilst in the interim the benefits do arise unto other Countries, who diligently observing the prices, whereby the moneys be exchanged, may take advantage to carry away the gold and silver of this Realm, at those times when the rate of our Starlin money (in exchange) is under the value of that standard, unto which place they are conveyed, for in respect the prices of the exchanges do rise and fall according to the plenty and scarcity of money, which is to be taken up or delivered out: the exchange is hereby rather become a Trade for some great moneyed men, than a furtherance and accommodation of Recall Trade of Merchants, as it ought to be in the true use thereof: and thus many times money may be made over hither by strangers to a good gain, and presently carried beyond the Seas to a second profit.",0,market_exchange
wealth.txt,2526,prices,"It must, however, have had some effect upon the prices of many
      of those years.",0,market_exchange
wealth.txt,2388,prices,"I have added, therefore, from
      the accounts of Eton college, the prices of 1598, 1599, 1600, and 1601.",0,market_exchange
wealth.txt,2396,prices,"Bishop Fleetwood
      and Mr Dupr?? de St Maur are the two authors who seem to have collected,
      with the greatest diligence and fidelity, the prices of things in ancient
      times.",0,market_exchange
A07886.txt,74,prices,"In the East-Indies. l. s. d. 2500000. ll. of Pepper at 2. d. ob. the pound 26041 13 04 A propotion of such Trade as is hoped yearly to be brought into this Realm from East-India. 150000. of Cloves at 9 d. the pound. 5626 00 00 150000. of Nutmegs at 4. d. the pound. 2500 00 00 50000. of Mace at 8. d. the pound. 1666 13 04 200000. of Indigo at 14. d. the pound. 11666 13 04 107140. of China Raw silks at 7. s. the pound. 37499 00 00 50000. of Calicoes of several sorts, rated at 7. s. the piece one with another. 15000 00 00 100000 00 00

All the said Merchandise have been often experienced, or bought at or about the prices above written; and we do hope for our parts (besides the Trade of Raw-silkes from Persia) yearly, to lad from the Indies, such quantity of the several sorts of wares as are here set down (if it shall please his Majesty, to protect and defend us concerning the Articles of agreement made with the dutch, that they may not violate any of them to our hindrance or damage) all which wares in England will yield (as I do conceive) the prizes hereafter following, Viz.",0,market_exchange
